date,top200_rows,unique_tracks,tracks_with_valence,valence_coverage,avg_valence,sad_songs_count,share_sad_songs
2019-10-02,200,200,196,0.98,0.4566433673469388,63,0.315
2019-10-03,200,200,194,0.97,0.4624623711340206,64,0.32
2019-10-04,200,200,198,0.99,0.4539989898989899,69,0.345
2019-10-05,200,200,197,0.985,0.47671573604060913,62,0.31
2019-10-06,200,200,195,0.975,0.467671282051282,64,0.32
2019-10-07,200,200,196,0.98,0.48391020408163266,62,0.31
2019-10-08,200,200,198,0.99,0.5094313131313132,53,0.265
2019-10-09,200,200,197,0.985,0.48381472081218274,59,0.295
2019-10-10,200,200,197,0.985,0.49231421319796953,51,0.255
2019-10-11,200,200,196,0.98,0.4836535714285714,50,0.25
2019-10-12,200,200,197,0.985,0.4933106598984771,52,0.26
2019-11-01,200,200,196,0.98,0.4677795918367347,58,0.29
2019-11-02,200,200,196,0.98,0.4559714285714286,62,0.31
2019-11-03,200,200,194,0.97,0.45772010309278355,66,0.33
2019-11-04,200,200,197,0.985,0.4544456852791878,66,0.33
2019-11-05,200,200,197,0.985,0.48963959390862943,57,0.285
2019-11-06,200,200,197,0.985,0.4769741116751269,61,0.305
2019-11-07,200,200,195,0.975,0.48478666666666664,61,0.305
2019-11-08,200,200,197,0.985,0.5049258883248731,54,0.27
2019-11-09,200,200,197,0.985,0.48412436548223353,57,0.285
2019-11-10,200,200,197,0.985,0.4910162436548223,50,0.25
2019-11-11,200,200,195,0.975,0.47268256410256415,55,0.275
2019-11-12,200,200,197,0.985,0.5014172588832487,50,0.25
2019-12-01,200,200,193,0.965,0.4706051813471503,58,0.29
2019-12-02,200,200,196,0.98,0.45686071428571434,62,0.31
2019-12-03,200,200,197,0.985,0.45625228426395936,68,0.34
2019-12-04,200,200,198,0.99,0.45118939393939395,68,0.34
2019-12-05,200,200,197,0.985,0.4794314720812182,59,0.295
2019-12-06,200,200,193,0.965,0.4728440414507772,61,0.305
2019-12-07,200,200,198,0.99,0.48696464646464643,59,0.295
2019-12-08,200,200,196,0.98,0.5017979591836735,55,0.275
2019-12-09,200,200,196,0.98,0.487344387755102,58,0.29
2019-12-10,200,200,197,0.985,0.49835634517766497,48,0.24
2019-12-11,200,200,195,0.975,0.4710876923076923,52,0.26
2019-12-12,200,200,197,0.985,0.49821421319796955,51,0.255
